Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
POLG	gene	POLG	Eligibility statement exclusion criteria;Expert;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Progressive external ophthalmoplegia, autosomal recessive, 258450;Progressive external ophthalmoplegia, autosomal dominant, 157640;Mitochondrial DNA depletion syndrome 4B (MNGIE type), 613662;Mitochondrial DNA depletion syndrome 4A (Alpers type), 203700;Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE), 607459;Mitochondrial DNA Depletion Syndrome;Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions						False	3	100;0;0	7.6	True		ENSG00000140521	ENSG00000140521	HGNC:9179													
POLG2	gene	POLG2	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Mitochondrial DNA depletion syndrome syndrome 16 (hepatic type), OMIM:618528;Mitochondrial DNA depletion syndrome 16B (neuroophthalmic type), OMIM:619425;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4, OMIM:610131				27592148;30157269;21555342;31286721		False	3	100;0;0	7.6	False		ENSG00000256525	ENSG00000256525	HGNC:9180													
POLRMT	gene	POLRMT	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 55, OMIM:619743				24386581;33602924		False	3	67;33;0	7.6	False		ENSG00000099821	ENSG00000099821	HGNC:9200													
PPA2	gene	PPA2	Expert Review;Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal					27523598		False	3	100;0;0	7.6	False		ENSG00000138777	ENSG00000138777	HGNC:28883													
PPOX	gene	PPOX	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Porphyria variegata, 176200				9540991;9811936;10870850;12859407;25778941;30476629;32247286;33159949		False	3	100;0;0	7.6	False		ENSG00000143224	ENSG00000143224	HGNC:9280													
PTCD3	gene	PTCD3	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	?Combined oxidative phosphorylation deficiency 51, OMIM:619057;combined oxidative phosphorylation deficiency 51, MONDO:0033631				30607703;30706245;36450274		False	3	100;0;0	7.6	False		ENSG00000132300	ENSG00000132300	HGNC:24717													
PUS1	gene	PUS1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Mitochondrial myopathy and sideroblastic anemia 1, 600462				15108122;15772074;28832011;26556812		False	3	100;0;0	7.6	False		ENSG00000177192	ENSG00000177192	HGNC:15508													
QARS	gene	QARS	Expert list;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Microcephaly, progressive, seizures, and cerebral and cerebellar atrophy, OMIM:615760;Multiple respiratory chain complex deficiencies (disorders of protein synthesis)				28620870;25471517;25432320;25041233;24656866;32042906		False	3	100;0;0	7.6	True		ENSG00000172053	ENSG00000172053	HGNC:9751													
QRSL1	gene	QRSL1	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 40, OMIM:618835				26741492;29440775;30283131		False	3	100;0;0	7.6	False		ENSG00000130348	ENSG00000130348	HGNC:21020													
RARS2	gene	RARS2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Pontocerebellar hypoplasia, type 6, 611523						False	3	100;0;0	7.6	True		ENSG00000146282	ENSG00000146282	HGNC:21406													
RMND1	gene	RMND1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Combined oxidative phosphorylation deficiency 11, 614922;Encephalopathy associated with multiple oxidative phosphorylation complex deficiencies and a mitochondrial translation defect						False	3	100;0;0	7.6	True		ENSG00000155906	ENSG00000155906	HGNC:21176													
RNASEH1	gene	RNASEH1	Expert Review;Expert Review Green;Literature;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2				Reyes et al., 2005, Am. J. Hum. Genet., 97,  186-193.		False	3	100;0;0	7.6	True		ENSG00000171865	ENSG00000171865	HGNC:18466													
RRM2B	gene	RRM2B	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Disorders of mitochondrial DNA maintenance and integrity;Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), 612075;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5, 613077;Mitochondrial DNA depletion syndrome 8B (MNGIE type), 612075;Mitochondrial DNA Depletion Syndrome (recessive)						False	3	100;0;0	7.6	False		ENSG00000048392	ENSG00000048392	HGNC:17296													
RTN4IP1	gene	RTN4IP1	Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Optic atrophy 10 with or without ataxia, mental retardation, and seizures 616732				26593267;29181510;28638143		False	3	100;0;0	7.6	False		ENSG00000130347	ENSG00000130347	HGNC:18647													
SACS	gene	SACS	Expert list;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS);Spastic ataxia, Charlevoix-Saguenay type				PMID: 10655055 (17 families with 24 patients);PMID: 16606928 (case study);PMID: 15985586 (two siblings);PMID: 14718708 (two family members);PMID: 14718706 (two sisters);PMID: 12873855 (18 patients from 4 families)		False	3	100;0;0	7.6	True		ENSG00000151835	ENSG00000151835	HGNC:10519													
SARS2	gene	SARS2	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis, 613845				PMID: 21255763;24034276		False	3	100;0;0	7.6	True		ENSG00000104835	ENSG00000104835	HGNC:17697													
SCO1	gene	SCO1	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, nuclear type 4, OMIM:619048				11013136;19295170;31352446;23878101		False	3	100;0;0	7.6	False		ENSG00000133028	ENSG00000133028	HGNC:10603													
SCO2	gene	SCO2	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex IV deficiency;Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1, 604377;Myopia 6, 608908;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex IV Deficiency						False	3	100;0;0	7.6	False		ENSG00000130489	ENSG00000130489	HGNC:10604													
SDHA	gene	SDHA	Expert;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Mitochondrial complex II deficiency, nuclear type 1, OMIM:252011;Neurodegeneration with ataxia and late-onset optic atrophy, OMIM:619259;Cardiomyopathy, dilated, 1GG, OMIM:613642				10976639;27683074;33471299		False	3	100;0;0	7.6	True		ENSG00000073578	ENSG00000073578	HGNC:10680													
SDHAF1	gene	SDHAF1	Emory Genetics Laboratory;Expert;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex II deficiency, 252011				19465911;22995659;26642834		False	3	100;0;0	7.6	False		ENSG00000205138	ENSG00000205138	HGNC:33867													
SDHB	gene	SDHB	Emory Genetics Laboratory;Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex II deficiency, nuclear type 4, OMIM:619224				22972948;26925370;27604842;32124427		False	3	100;0;0	7.6	True		ENSG00000117118	ENSG00000117118	HGNC:10681													
SDHD	gene	SDHD	Emory Genetics Laboratory;Expert;Expert list;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial respiratory chain complex II deficiency 252011				24367056;26008905		False	3	100;0;0	7.6	True		ENSG00000204370	ENSG00000204370	HGNC:10683													
SERAC1	gene	SERAC1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Multiple respiratory chain complex deficiencies (disorders of protein synthesis);3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome, OMIM:614739				29205472		False	3	100;0;0	7.6	True		ENSG00000122335	ENSG00000122335	HGNC:21061													
SFXN4	gene	SFXN4	Expert;Expert Review Green;NHS GMS;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 18, 615578				24119684		False	3	100;0;0	7.6	False		ENSG00000183605	ENSG00000183605	HGNC:16088													
SLC19A2	gene	SLC19A2	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Thiamine-responsive megaloblastic anemia syndrome, 249270						False	3	100;0;0	7.6	True		ENSG00000117479	ENSG00000117479	HGNC:10938													
SLC19A3	gene	SLC19A3	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2),607483						False	3	100;0;0	7.6	True		ENSG00000135917	ENSG00000135917	HGNC:16266													
SLC22A5	gene	SLC22A5	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Carnitine deficiency, systemic primary, OMIM:212140;systemic primary carnitine deficiency disease, MONDO:0008919				9916797;17884651;25778941;28857146;10545605;11261427		False	3	100;0;0	7.6	False		ENSG00000197375	ENSG00000197375	HGNC:10969													
SLC25A1	gene	SLC25A1	Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of mitochondrial protein transport;Combined D-2- and L-2-hydroxyglutaric aciduria, 615182				23561848		False	3	100;0;0	7.6	False		ENSG00000100075	ENSG00000100075	HGNC:10979													
SLC25A12	gene	SLC25A12	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 39 612949				24515575;19641205;27290639		False	3	100;0;0	7.6	False		ENSG00000115840	ENSG00000115840	HGNC:10982													
SLC25A19	gene	SLC25A19	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Microcephaly, Amish type, 607196;Thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type), 613710						False	3	100;0;0	7.6	True		ENSG00000125454	ENSG00000125454	HGNC:14409													
SLC25A20	gene	SLC25A20	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Carnitine-acylcarnitine translocase deficiency, OMIM:212138;carnitine-acylcarnitine translocase deficiency, MONDO:0008918				9399886;10384384;10697964;15057979;12859414;24088670;31108048;25778941		False	3	100;0;0	7.6	False		ENSG00000178537	ENSG00000178537	HGNC:1421													
SLC25A24	gene	SLC25A24	Expert list;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Fontaine progeroid syndrome, OMIM;612289;Fontaine progeroid syndrome, MONDO:0012853				29903433;29100093;29100094		False	3	100;0;0	7.6	False		ENSG00000085491	ENSG00000085491	HGNC:20662													
SLC25A26	gene	SLC25A26	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Intra-mitochondrial Methylation Deficiency leading to Clinical findings ranging from neonatal mortality resulting from respiratory insufficiency and hydrops to childhood acute episodes of cardiopulmonary failure and slowly progressive muscle weakness;Combined oxidative phosphorylation deficiency 28;intra-mitochondrial methylation deficiency.				PMID: 26522469		False	3	100;0;0	7.6	True		ENSG00000144741	ENSG00000144741	HGNC:20661													
SLC25A3	gene	SLC25A3	Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial phosphate carrier deficiency, 610773				27604308;17273968;25681081		False	3	100;0;0	7.6	False		ENSG00000075415	ENSG00000075415	HGNC:10989													
SLC25A32	gene	SLC25A32	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	?Exercise intolerance, riboflavin-responsive 616839				26933868;28443623		False	3	0;0;0	7.6	False		ENSG00000164933	ENSG00000164933	HGNC:29683													
SLC25A36	gene	SLC25A36	Expert Review Green;Literature;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Hyperinsulinemic hypoglycemia, familial, 8, OMIM:620211				34576089;34971397;36695547		False	3	100;0;0	7.6	False		ENSG00000114120	ENSG00000114120	HGNC:25554													
SLC25A38	gene	SLC25A38	Expert list;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	nonsyndromic autosomal recessive congenital sideroblastic anemia;congenital sideroblastic anemias;severe, non-syndromic, microcytic/hypochromic sideroblastic anemia				PMID: 19412178;PMID: 25985931 (mutations detected in 3 patients in this gene);PMID: 21393332 (11 patients);PMID: 19731322 (12 probands with mutations in this gene);PMID: 26821380 (potential novel treatment using glycine and folate).		False	3	100;0;0	7.6	True		ENSG00000144659	ENSG00000144659	HGNC:26054													
SLC25A4	gene	SLC25A4	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) 617184;Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type) 615418;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2 609283						False	3	100;0;0	7.6	False		ENSG00000151729	ENSG00000151729	HGNC:10990													
SLC25A42	gene	SLC25A42	Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	mitochondrial myopathy;Metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression 618416				29923093;29327420;26541337		False	3	100;0;0	7.6	False		ENSG00000181035	ENSG00000181035	HGNC:28380													
SLC25A46	gene	SLC25A46	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	optic atrophy spectrum disorder				PMID: 26168012		False	3	100;0;0	7.6	True		ENSG00000164209	ENSG00000164209	HGNC:25198													
SLC52A2	gene	SLC52A2	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Brown-Vialetto-Van Laere syndrome 2, OMIM:614707;brown-Vialetto-van Laere syndrome 2, MONDO:0013867				29053833;29193829		False	3	100;0;0	7.6	False		ENSG00000185803	ENSG00000185803	HGNC:30224													
SLC52A3	gene	SLC52A3	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Brown-Vialetto-Van Laere syndrome 1, OMIM:211530;Brown-Vialetto-van Laere syndrome 1, MONDO:0024537				29053833;29193829		False	3	100;0;0	7.6	False		ENSG00000101276	ENSG00000101276	HGNC:16187													
SPATA5	gene	SPATA5	Expert Review Green;Literature;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with hearing loss, seizures, and brain abnormalities, OMIM:616577				27246907;29343804;26299366;28293831;30009132;36849973		False	3	100;0;0	7.6	False		ENSG00000145375	ENSG00000145375	HGNC:18119													
SPG7	gene	SPG7	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Spastic paraplegia 7, autosomal recessive, OMIM:607259;hereditary spastic paraplegia 7, MONDO:0011803				9635427;16534102;17646629;18200586;20186691;22571692		False	3	100;0;0	7.6	True		ENSG00000197912	ENSG00000197912	HGNC:11237													
SSBP1	gene	SSBP1	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Optic atrophy 13 with retinal and foveal abnormalities, OMIM:165510				29182774;34905022;31298765;31479473;31550237;31550240		False	3	100;0;0	7.6	False		ENSG00000106028	ENSG00000106028	HGNC:11317													
SUCLA2	gene	SUCLA2	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria), OMIM:612073;Required for mtDNA maintenance  (Mitochondrial respiratory chain disorders (caused by nuclear variants only));Disorders of mitochondrial DNA maintenance and integrity						False	3	100;0;0	7.6	False		ENSG00000136143	ENSG00000136143	HGNC:11448													
SUCLG1	gene	SUCLG1	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of mitochondrial DNA maintenance and integrity;Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria),245400;Mitochondrial DNA Depletion Syndrome						False	3	100;0;0	7.6	False		ENSG00000163541	ENSG00000163541	HGNC:11449													
SURF1	gene	SURF1	Emory Genetics Laboratory;Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex IV deficiency;Leigh syndrome, due to COX deficiency, 256000;Mitochondrial Diseases;Leigh Syndrome;Complex IV deficiency						False	3	100;0;0	7.6	True		ENSG00000148290	ENSG00000148290	HGNC:11474													
TACO1	gene	TACO1	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex IV deficiency;Multiple respiratory chain complex deficiencies (disorders of protein synthesis);?Mitochondrial complex IV deficiency, 220110;Mitochondrial Diseases;Mitochondrial Respiratory Chain Complex IV Deficiency						False	3	100;0;0	7.6	False		ENSG00000136463	ENSG00000136463	HGNC:24316													
TAMM41	gene	TAMM41	Expert Review Green;Literature;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 56, OMIM:620139				35321494		False	3	100;0;0	7.6	False		ENSG00000144559	ENSG00000144559	HGNC:25187													
TARS2	gene	TARS2	Expert;Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 21, OMIM:615918, MONDO:0014398				33153448;24827421;34508595		False	3	100;0;0	7.6	False		ENSG00000143374	ENSG00000143374	HGNC:30740													
TAZ	gene	TAZ	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Disorders of mitochondrial lipid metabolism;Barth syndrome, 302060						False	3	100;0;0	7.6	True		ENSG00000102125	ENSG00000102125	HGNC:11577													
TEFM	gene	TEFM	Expert Review Green;Literature;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 58, OMIM:620451				36823193		False	3	100;0;0	7.6	False		ENSG00000172171	ENSG00000172171	HGNC:26223													
TFAM	gene	TFAM	Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type), OMIM:617156				27448789;31785789;32399598;34647195		False	3	67;33;0	7.6	False		ENSG00000108064	ENSG00000108064	HGNC:11741													
TIMM50	gene	TIMM50	Expert list;Expert Review Green	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type IX 617698				27573165		False	3	100;0;0	7.6	True		ENSG00000105197	ENSG00000105197	HGNC:23656													
TIMM8A	gene	TIMM8A	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Disorders of the mitochondrial import system;Deafness, X-linked 1, progressive;Mohr-Tranebjaerg syndrome, 304700;Jensen syndrome, 311150						False	3	100;0;0	7.6	True		ENSG00000126953	ENSG00000126953	HGNC:11817													
TIMMDC1	gene	TIMMDC1	Expert list;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 31, OMIM:618251				28604674;33278652		False	3	100;0;0	7.6	False		ENSG00000113845	ENSG00000113845	HGNC:1321													
TK2	gene	TK2	Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Disorders of mitochondrial DNA maintenance and integrity;Mitochondrial DNA depletion syndrome 2 (myopathic type), 609560;Mitochondrial DNA Depletion Syndrome						False	3	100;0;0	7.6	False		ENSG00000166548	ENSG00000166548	HGNC:11831													
TMEM126B	gene	TMEM126B	Expert list;Expert Review Green;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex I deficiency				27374774;27374773		False	3	50;50;0	7.6	False		ENSG00000171204	ENSG00000171204	HGNC:30883													
TMEM70	gene	TMEM70	Emory Genetics Laboratory;Expert;Expert list;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Isolated complex V deficiency;Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2, 614052;Mitochondrial Complex V (ATP Synthase) Deficiency, Nuclear Type;Mitochondrial Diseases						False	3	100;0;0	7.6	False		ENSG00000175606	ENSG00000175606	HGNC:26050													
TOP3A	gene	TOP3A	Expert list;Expert Review Green;NHS GMS	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5, 618098				29290614		False	3	0;0;100	7.6	False		ENSG00000177302	ENSG00000177302	HGNC:11992													
TPK1	gene	TPK1	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type), 614458						False	3	100;0;0	7.6	True		ENSG00000196511	ENSG00000196511	HGNC:17358													
TRIT1	gene	TRIT1	Expert;Expert list;Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	Mitochondrial disorders	Mitochondrial	Metabolic disorders	BIALLELIC, autosomal or pseudoautosomal	Combined oxidative phosphorylation deficiency 35, OMIM:617873;combined oxidative phosphorylation deficiency 35, MONDO:0054742				28185376;24901367		False	3	100;0;0	7.6	False		ENSG00000043514	ENSG00000043514	HGNC:20286													
